code_muni,name_muni,abbrev_state,name_norm
1100015,Alta Floresta d'Oeste,RO,ALTA FLORESTA D'OESTE
1100023,Ariquemes,RO,ARIQUEMES
1100031,Cabixi,RO,CABIXI
1100049,Cacoal,RO,CACOAL
1100056,Cerejeiras,RO,CEREJEIRAS
1100064,Colorado do Oeste,RO,COLORADO DO OESTE
1100072,Corumbiara,RO,CORUMBIARA
1100080,Costa Marques,RO,COSTA MARQUES
1100098,Espigão d'Oeste,RO,ESPIGAO D'OESTE
1100106,Guajará-Mirim,RO,GUAJARA-MIRIM
1100114,Jaru,RO,JARU
1100122,Ji-Paraná,RO,JI-PARANA
1100130,Machadinho d'Oeste,RO,MACHADINHO D'OESTE
1100148,Nova Brasilândia d'Oeste,RO,NOVA BRASILANDIA D'OESTE
1100155,Ouro Preto do Oeste,RO,OURO PRETO DO OESTE
1100189,Pimenta Bueno,RO,PIMENTA BUENO
1100205,Porto Velho,RO,PORTO VELHO
1100254,Presidente Médici,RO,PRESIDENTE MEDICI
1100262,Rio Crespo,RO,RIO CRESPO
1100288,Rolim de Moura,RO,ROLIM DE MOURA
1100296,Santa Luzia d'Oeste,RO,SANTA LUZIA D'OESTE
1100304,Vilhena,RO,VILHENA
1100320,São Miguel do Guaporé,RO,SAO MIGUEL DO GUAPORE
1100338,Nova Mamoré,RO,NOVA MAMORE
1100346,Alvorada d'Oeste,RO,ALVORADA D'OESTE
1100379,Alto Alegre dos Parecis,RO,ALTO ALEGRE DOS PARECIS
1100403,Alto Paraíso,RO,ALTO PARAISO
1100452,Buritis,RO,BURITIS
1100502,Novo Horizonte do Oeste,RO,NOVO HORIZONTE DO OESTE
1100601,Cacaulândia,RO,CACAULANDIA
1100700,Campo Novo de Rondônia,RO,CAMPO NOVO DE RONDONIA
1100809,Candeias do Jamari,RO,CANDEIAS DO JAMARI
1100908,Castanheiras,RO,CASTANHEIRAS
1100924,Chupinguaia,RO,CHUPINGUAIA
1100940,Cujubim,RO,CUJUBIM
1101005,Governador Jorge Teixeira,RO,GOVERNADOR JORGE TEIXEIRA
1101104,Itapuã do Oeste,RO,ITAPUA DO OESTE
1101203,Ministro Andreazza,RO,MINISTRO ANDREAZZA
1101302,Mirante da Serra,RO,MIRANTE DA SERRA
1101401,Monte Negro,RO,MONTE NEGRO
1101435,Nova União,RO,NOVA UNIAO
1101450,Parecis,RO,PARECIS
1101468,Pimenteiras do Oeste,RO,PIMENTEIRAS DO OESTE
1101476,Primavera de Rondônia,RO,PRIMAVERA DE RONDONIA
1101484,São Felipe d'Oeste,RO,SAO FELIPE D'OESTE
1101492,São Francisco do Guaporé,RO,SAO FRANCISCO DO GUAPORE
1101500,Seringueiras,RO,SERINGUEIRAS
1101559,Teixeirópolis,RO,TEIXEIROPOLIS
1101609,Theobroma,RO,THEOBROMA
1101708,Urupá,RO,URUPA
1101757,Vale do Anari,RO,VALE DO ANARI
1101807,Vale do Paraíso,RO,VALE DO PARAISO
1200013,Acrelândia,AC,ACRELANDIA
1200054,Assis Brasil,AC,ASSIS BRASIL
1200104,Brasiléia,AC,BRASILEIA
1200138,Bujari,AC,BUJARI
1200179,Capixaba,AC,CAPIXABA
1200203,Cruzeiro do Sul,AC,CRUZEIRO DO SUL
1200252,Epitaciolândia,AC,EPITACIOLANDIA
1200302,Feijó,AC,FEIJO
1200328,Jordão,AC,JORDAO
1200336,Mâncio Lima,AC,MANCIO LIMA
